Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,195,23,0,26,17,11,29,22,13,15,24,15,23,0.189760,0.142200,0.268153
MOEA_NSGAII,Multi-Objective,188,31,0,21,17,17,24,25,17,19,23,12,13,0.313665,0.025397,0.150021
MOEA_SPEAII,Multi-Objective,243,31,20,17,30,27,23,24,35,18,24,17,28,0.381802,0.021700,0.115811
MOEA_eNSGAII,Multi-Objective,208,38,13,23,16,18,27,19,17,26,22,24,16,0.324272,0.011322,0.140149
SO_LJF_WORST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.024167,0.807288,0.804878
SO_LJF_BEST,Single-Objective,10,4,3,1,1,1,1,1,1,1,1,1,1,0.348051,0.015854,0.244038
SO_SJF_WORST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.086493,0.204778,0.412087
SO_SJF_BEST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.018176,0.298606,0.544531
Simulated Annealing,Grouped Single-Objective,20,6,5,2,2,2,2,2,2,2,2,2,2,0.288109,0.008729,0.342948
Classic GA,Grouped Single-Objective,20,3,1,2,2,2,2,2,2,2,2,2,2,0.209006,0.160059,0.331710
Island Model GA,Grouped Single-Objective,20,7,5,2,2,2,2,2,2,2,2,2,2,0.396610,0.029076,0.227638
Universal_Pareto_Set,Reference,47,47,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.548272,0.000000,0.000000
