Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,40,3,1,4,5,2,6,4,4,1,3,2,9,0.104095,0.191665,0.495485
MOEA_NSGAII,Multi-Objective,74,6,0,6,5,4,19,10,5,6,8,9,2,0.052087,0.559988,0.642344
MOEA_SPEAII,Multi-Objective,73,7,0,3,6,7,9,8,11,5,7,10,7,0.018775,0.468975,0.755084
MOEA_eNSGAII,Multi-Objective,66,5,0,12,4,5,7,3,6,7,7,6,9,0.047527,0.552126,0.736658
SO_LJF_WORST,Single-Objective,10,5,0,1,1,1,1,1,1,1,1,1,1,0.005632,1.106826,1.131150
SO_LJF_BEST,Single-Objective,10,7,0,1,1,1,1,1,1,1,1,1,1,0.009550,1.058300,1.066418
SO_SJF_WORST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.000000,1.238722,1.276692
SO_SJF_BEST,Single-Objective,10,1,0,1,1,1,1,1,1,1,1,1,1,0.000000,1.236218,1.285316
Simulated Annealing,Grouped Single-Objective,20,1,1,2,2,2,2,2,2,2,2,2,2,0.000000,0.000000,0.828234
Classic GA,Grouped Single-Objective,20,2,0,2,2,2,2,2,2,2,2,2,2,0.109823,0.471261,0.406348
Island Model GA,Grouped Single-Objective,20,3,2,2,2,2,2,2,2,2,2,2,2,0.281373,0.085269,0.200709
Universal_Pareto_Set,Reference,4,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.278072,0.000000,0.000000
