Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,146,19,11,10,16,14,11,17,18,15,18,10,17,0.496755,0.020889,0.098695
MOEA_NSGAII,Multi-Objective,224,52,12,26,31,15,25,13,17,35,20,16,26,0.503168,0.040913,0.066377
MOEA_SPEAII,Multi-Objective,244,28,9,18,15,45,21,31,22,27,19,23,23,0.484890,0.071656,0.083301
MOEA_eNSGAII,Multi-Objective,210,38,3,19,25,14,19,29,24,18,26,12,24,0.499879,0.027463,0.093433
SO_LJF_WORST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.010028,0.770254,0.902365
SO_LJF_BEST,Single-Objective,10,1,0,1,1,1,1,1,1,1,1,1,1,0.034450,0.501098,0.652979
SO_SJF_WORST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.013900,0.416620,0.694235
SO_SJF_BEST,Single-Objective,10,1,0,1,1,1,1,1,1,1,1,1,1,0.012618,0.260607,0.642375
Simulated Annealing,Grouped Single-Objective,20,3,3,2,2,2,2,2,2,2,2,2,2,0.117042,0.000000,0.521167
Classic GA,Grouped Single-Objective,20,5,1,2,2,2,2,2,2,2,2,2,2,0.470835,0.123439,0.107499
Island Model GA,Grouped Single-Objective,20,4,0,2,2,2,2,2,2,2,2,2,2,0.166723,0.099684,0.450071
Universal_Pareto_Set,Reference,39,39,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.558807,0.000000,0.000000
