Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,333,38,0,36,40,30,31,29,42,34,29,28,34,0.438952,0.087122,0.153584
MOEA_NSGAII,Multi-Objective,266,30,10,26,18,19,20,41,30,29,34,18,31,0.499902,0.065609,0.082885
MOEA_SPEAII,Multi-Objective,379,41,20,40,24,23,35,38,38,55,28,44,54,0.527037,0.075542,0.051007
MOEA_eNSGAII,Multi-Objective,269,31,4,30,19,25,24,31,29,23,29,26,33,0.495869,0.051354,0.081864
SO_LJF_WORST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.032329,0.768654,0.807611
SO_LJF_BEST,Single-Objective,10,1,0,1,1,1,1,1,1,1,1,1,1,0.143577,0.334266,0.426198
SO_SJF_WORST,Single-Objective,10,1,0,1,1,1,1,1,1,1,1,1,1,0.000000,0.485962,0.697797
SO_SJF_BEST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.081976,0.302193,0.550793
Simulated Annealing,Grouped Single-Objective,20,5,3,2,2,2,2,2,2,2,2,2,2,0.323463,0.071549,0.378682
Classic GA,Grouped Single-Objective,20,4,1,2,2,2,2,2,2,2,2,2,2,0.491856,0.140819,0.175216
Island Model GA,Grouped Single-Objective,20,5,2,2,2,2,2,2,2,2,2,2,2,0.247904,0.089225,0.375267
Universal_Pareto_Set,Reference,40,40,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.628426,0.000000,0.000000
