Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,69,5,0,7,5,11,7,10,8,5,4,7,5,0.043864,0.871743,0.851103
MOEA_NSGAII,Multi-Objective,59,2,0,7,10,9,4,1,5,2,5,5,11,0.000000,0.995558,1.031531
MOEA_SPEAII,Multi-Objective,75,5,0,12,3,5,13,2,8,3,9,5,15,0.027533,0.916686,0.893707
MOEA_eNSGAII,Multi-Objective,59,4,0,8,7,7,6,1,5,4,8,9,4,0.000059,0.993738,0.957302
SO_LJF_WORST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.008042,1.117650,1.151462
SO_LJF_BEST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.020520,0.939976,1.008898
SO_SJF_WORST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.000142,1.154972,1.138475
SO_SJF_BEST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.000484,1.230516,1.265142
Simulated Annealing,Grouped Single-Objective,20,3,0,2,2,2,2,2,2,2,2,2,2,0.000398,0.766879,0.675591
Classic GA,Grouped Single-Objective,20,1,0,2,2,2,2,2,2,2,2,2,2,0.000000,0.846247,0.956926
Island Model GA,Grouped Single-Objective,20,2,2,2,2,2,2,2,2,2,2,2,2,0.000000,0.000000,0.000000
Universal_Pareto_Set,Reference,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000
