Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,163,19,5,12,9,12,12,26,22,21,19,21,9,0.350208,0.038279,0.118780
MOEA_NSGAII,Multi-Objective,230,20,9,32,19,20,19,21,28,24,28,22,17,0.378318,0.028399,0.098719
MOEA_SPEAII,Multi-Objective,249,24,0,28,20,29,17,27,24,32,26,30,16,0.350448,0.069792,0.112101
MOEA_eNSGAII,Multi-Objective,231,27,12,27,22,31,8,28,22,25,23,31,14,0.345675,0.029555,0.092084
SO_LJF_WORST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.025844,0.803267,0.810305
SO_LJF_BEST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.148332,0.203822,0.299317
SO_SJF_WORST,Single-Objective,10,3,0,1,1,1,1,1,1,1,1,1,1,0.087079,0.246833,0.393456
SO_SJF_BEST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.018814,0.344467,0.581314
Simulated Annealing,Grouped Single-Objective,20,4,3,2,2,2,2,2,2,2,2,2,2,0.266546,0.014291,0.370557
Classic GA,Grouped Single-Objective,20,6,0,2,2,2,2,2,2,2,2,2,2,0.154324,0.174562,0.327405
Island Model GA,Grouped Single-Objective,20,5,2,2,2,2,2,2,2,2,2,2,2,0.212822,0.136706,0.341557
Universal_Pareto_Set,Reference,31,31,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.471949,0.000000,0.000000
